strain	accession	subtype	date	host	country	region	species	broad	order
A/chicken/Huizhou/231/2022	OQ292059	H3N8	2022-02-16	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/2524/2021	OQ292067	H3N8	2021-12-07	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/2542/2021	OQ292075	H3N8	2021-12-07	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/2550/2021	OQ292083	H3N8	2021-12-07	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/2568/2021	OQ292091	H3N8	2021-12-07	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/2601/2021	OQ292099	H3N8	2021-12-07	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/2703/2021	OQ292107	H3N8	2021-12-23	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/2728/2021	OQ292115	H3N8	2021-12-23	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/297/2022	OQ292123	H3N8	2022-03-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/305/2022	OQ292131	H3N8	2022-03-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/310/2022	OQ292139	H3N8	2022-03-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/320/2022	OQ292147	H3N8	2022-03-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/325/2022	OQ292155	H3N8	2022-03-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/333/2022	OQ292163	H3N8	2022-03-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/34/2022	OQ292171	H3N8	2022-01-04	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/356/2022	OQ292179	H3N8	2022-03-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/361/2022	OQ292187	H3N8	2022-03-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/456/2022	OQ292195	H3N8	2022-03-29	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/463/2022	OQ292203	H3N8	2022-03-29	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/487/2022	OQ292211	H3N8	2022-03-29	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/50/2022	OQ292219	H3N8	2022-01-04	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/567/2022	OQ292227	H3N8	2022-04-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/677/2022	OQ292235	H3N8	2022-04-27	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/684/2022	OQ292243	H3N8	2022-04-27	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Huizhou/78/2022	OQ292251	H3N8	2022-01-04	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Italy/5945/95	AF213911	H3N2	1995-XX-XX	Avian	Italy	Europe	Chicken	chicken	Galliformes
