Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 14.446115

Equilibrium frequencies (pi_i):
  A: 0.1071
  B: 0.0878
  C: 0.0613
  D: 0.0829
  E: 0.1421
  F: 0.1056
  G: 0.0622
  H: 0.1747
  I: 0.1047
  J: 0.0716

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.3411	0.3619	0.2719	0.5413	0.2442	0.267	0.2473	0.3016	0.5598
  B	0.3411	0	3.9947	3.2939	3.3824	1.2508	0.5312	0.7304	5.4052	5.5401
  C	0.3619	3.9947	0	0.7767	4.3251	1.0181	0.5246	0.2002	1.0382	4.6441
  D	0.2719	3.2939	0.7767	0	2.5179	0.5307	0.3664	0.2271	0.5662	2.2245
  E	0.5413	3.3824	4.3251	2.5179	0	0.9029	2.9992	0.1286	1.4968	0.9728
  F	0.2442	1.2508	1.0181	0.5307	0.9029	0	0.3872	0.2579	0.5602	0.2711
  G	0.267	0.5312	0.5246	0.3664	2.9992	0.3872	0	0.2383	0.4961	0.4067
  H	0.2473	0.7304	0.2002	0.2271	0.1286	0.2579	0.2383	0	0.218	1.5721
  I	0.3016	5.4052	1.0382	0.5662	1.4968	0.5602	0.4961	0.218	0	1.3166
  J	0.5598	5.5401	4.6441	2.2245	0.9728	0.2711	0.4067	1.5721	1.3166	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0365	0.0388	0.0291	0.058	0.0262	0.0286	0.0265	0.0323	0.06
  B	0.0299	0	0.3506	0.2891	0.2968	0.1098	0.0466	0.0641	0.4744	0.4862
  C	0.0222	0.2448	0	0.0476	0.265	0.0624	0.0321	0.0123	0.0636	0.2846
  D	0.0225	0.273	0.0644	0	0.2087	0.044	0.0304	0.0188	0.0469	0.1844
  E	0.0769	0.4806	0.6146	0.3578	0	0.1283	0.4262	0.0183	0.2127	0.1382
  F	0.0258	0.1321	0.1075	0.056	0.0954	0	0.0409	0.0272	0.0592	0.0286
  G	0.0166	0.033	0.0326	0.0228	0.1866	0.0241	0	0.0148	0.0309	0.0253
  H	0.0432	0.1276	0.035	0.0397	0.0225	0.0451	0.0416	0	0.0381	0.2746
  I	0.0316	0.5662	0.1088	0.0593	0.1568	0.0587	0.052	0.0228	0	0.1379
  J	0.0401	0.3966	0.3325	0.1592	0.0696	0.0194	0.0291	0.1125	0.0943	0
