Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 14.771995

Equilibrium frequencies (pi_i):
  A: 0.1155
  B: 0.0825
  C: 0.0447
  D: 0.06
  E: 0.1228
  F: 0.1003
  G: 0.0606
  H: 0.2016
  I: 0.1214
  J: 0.0905

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2549	0.7203	0.3404	0.4608	0.2886	0.4862	0.343	0.3432	0.5069
  B	0.2549	0	3.7619	3.2804	4.4071	1.1975	0.4122	0.3046	4.1322	4.9715
  C	0.7203	3.7619	0	1.6089	5.8234	1.1802	0.5357	0.5405	2.3471	4.5313
  D	0.3404	3.2804	1.6089	0	3.8384	0.5793	0.2969	0.2751	1.5395	2.6469
  E	0.4608	4.4071	5.8234	3.8384	0	1.109	3.3863	0.1386	1.2965	0.6698
  F	0.2886	1.1975	1.1802	0.5793	1.109	0	0.5049	0.547	0.439	0.6334
  G	0.4862	0.4122	0.5357	0.2969	3.3863	0.5049	0	0.2714	0.6523	0.3407
  H	0.343	0.3046	0.5405	0.2751	0.1386	0.547	0.2714	0	0.2974	1.6817
  I	0.3432	4.1322	2.3471	1.5395	1.2965	0.439	0.6523	0.2974	0	0.6125
  J	0.5069	4.9715	4.5313	2.6469	0.6698	0.6334	0.3407	1.6817	0.6125	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0295	0.0832	0.0393	0.0532	0.0333	0.0562	0.0396	0.0396	0.0586
  B	0.021	0	0.3104	0.2707	0.3637	0.0988	0.034	0.0251	0.341	0.4102
  C	0.0322	0.1681	0	0.0719	0.2603	0.0528	0.0239	0.0242	0.1049	0.2025
  D	0.0204	0.1967	0.0965	0	0.2302	0.0347	0.0178	0.0165	0.0923	0.1587
  E	0.0566	0.5414	0.7154	0.4715	0	0.1362	0.416	0.017	0.1593	0.0823
  F	0.0289	0.1201	0.1184	0.0581	0.1112	0	0.0506	0.0548	0.044	0.0635
  G	0.0295	0.025	0.0325	0.018	0.2052	0.0306	0	0.0164	0.0395	0.0206
  H	0.0691	0.0614	0.109	0.0555	0.0279	0.1103	0.0547	0	0.0599	0.339
  I	0.0417	0.5018	0.285	0.1869	0.1574	0.0533	0.0792	0.0361	0	0.0744
  J	0.0459	0.4501	0.4102	0.2396	0.0606	0.0573	0.0308	0.1523	0.0555	0
