Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 9.309091

Equilibrium frequencies (pi_i):
  A: 0.1255
  B: 0.0895
  C: 0.0683
  D: 0.067
  E: 0.1272
  F: 0.0897
  G: 0.0653
  H: 0.1729
  I: 0.1236
  J: 0.0711

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2371	0.4837	0.3353	0.3837	0.3427	0.5724	0.2987	0.3523	0.5112
  B	0.2371	0	3.2063	3.9695	4.0559	0.6642	0.34	0.4049	4.2402	4.6045
  C	0.4837	3.2063	0	0.8912	4.5515	1.3319	0.7864	0.3304	1.3923	5.207
  D	0.3353	3.9695	0.8912	0	3.3187	0.6358	0.3263	0.4158	0.9042	1.9604
  E	0.3837	4.0559	4.5515	3.3187	0	1.5761	2.6208	0.1668	0.93	1.0772
  F	0.3427	0.6642	1.3319	0.6358	1.5761	0	0.3246	0.3812	0.6316	0.6132
  G	0.5724	0.34	0.7864	0.3263	2.6208	0.3246	0	0.2833	0.371	0.4317
  H	0.2987	0.4049	0.3304	0.4158	0.1668	0.3812	0.2833	0	0.4398	1.3945
  I	0.3523	4.2402	1.3923	0.9042	0.93	0.6316	0.371	0.4398	0	0.8256
  J	0.5112	4.6045	5.207	1.9604	1.0772	0.6132	0.4317	1.3945	0.8256	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0298	0.0607	0.0421	0.0482	0.043	0.0719	0.0375	0.0442	0.0642
  B	0.0212	0	0.287	0.3553	0.363	0.0594	0.0304	0.0362	0.3795	0.4121
  C	0.033	0.219	0	0.0609	0.3109	0.091	0.0537	0.0226	0.0951	0.3557
  D	0.0225	0.2659	0.0597	0	0.2223	0.0426	0.0219	0.0278	0.0606	0.1313
  E	0.0488	0.516	0.579	0.4222	0	0.2005	0.3334	0.0212	0.1183	0.137
  F	0.0307	0.0596	0.1195	0.057	0.1414	0	0.0291	0.0342	0.0567	0.055
  G	0.0374	0.0222	0.0513	0.0213	0.1711	0.0212	0	0.0185	0.0242	0.0282
  H	0.0516	0.07	0.0571	0.0719	0.0288	0.0659	0.049	0	0.076	0.241
  I	0.0435	0.5239	0.172	0.1117	0.1149	0.078	0.0458	0.0543	0	0.102
  J	0.0363	0.3273	0.3701	0.1393	0.0766	0.0436	0.0307	0.0991	0.0587	0
