Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 9.477982

Equilibrium frequencies (pi_i):
  A: 0.1255
  B: 0.0919
  C: 0.0685
  D: 0.0669
  E: 0.1295
  F: 0.091
  G: 0.0677
  H: 0.1715
  I: 0.1173
  J: 0.0701

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2338	0.486	0.333	0.3739	0.3498	0.5682	0.2966	0.3481	0.5073
  B	0.2338	0	2.8595	4.0715	3.786	0.6363	0.3215	0.466	4.3945	4.6691
  C	0.486	2.8595	0	0.9351	4.5792	1.3247	0.8661	0.3263	1.4635	5.1568
  D	0.333	4.0715	0.9351	0	3.13	0.7185	0.3222	0.4137	0.9964	1.9289
  E	0.3739	3.786	4.5792	3.13	0	1.4844	2.4789	0.1507	1.0045	1.0096
  F	0.3498	0.6363	1.3247	0.7185	1.4844	0	0.3034	0.3243	0.7191	0.6075
  G	0.5682	0.3215	0.8661	0.3222	2.4789	0.3034	0	0.2808	0.4152	0.4274
  H	0.2966	0.466	0.3263	0.4137	0.1507	0.3243	0.2808	0	0.4385	1.3864
  I	0.3481	4.3945	1.4635	0.9964	1.0045	0.7191	0.4152	0.4385	0	0.9192
  J	0.5073	4.6691	5.1568	1.9289	1.0096	0.6075	0.4274	1.3864	0.9192	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0294	0.061	0.0418	0.0469	0.0439	0.0713	0.0372	0.0437	0.0637
  B	0.0215	0	0.2627	0.3741	0.3479	0.0585	0.0295	0.0428	0.4038	0.429
  C	0.0333	0.1958	0	0.064	0.3136	0.0907	0.0593	0.0223	0.1002	0.3531
  D	0.0223	0.2725	0.0626	0	0.2095	0.0481	0.0216	0.0277	0.0667	0.1291
  E	0.0484	0.4903	0.5931	0.4054	0	0.1922	0.3211	0.0195	0.1301	0.1308
  F	0.0318	0.0579	0.1206	0.0654	0.1351	0	0.0276	0.0295	0.0655	0.0553
  G	0.0385	0.0218	0.0586	0.0218	0.1678	0.0205	0	0.019	0.0281	0.0289
  H	0.0509	0.0799	0.056	0.071	0.0259	0.0556	0.0482	0	0.0752	0.2378
  I	0.0408	0.5154	0.1716	0.1169	0.1178	0.0843	0.0487	0.0514	0	0.1078
  J	0.0356	0.3275	0.3617	0.1353	0.0708	0.0426	0.03	0.0972	0.0645	0
