Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 9.153747

Equilibrium frequencies (pi_i):
  A: 0.1124
  B: 0.0702
  C: 0.0517
  D: 0.0708
  E: 0.1126
  F: 0.0872
  G: 0.0693
  H: 0.2189
  I: 0.1209
  J: 0.0859

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2794	0.6223	0.4033	0.4854	0.3422	0.6792	0.4448	0.3281	0.5791
  B	0.2794	0	2.8358	6.0082	4.4834	1.4562	0.3399	0.2954	4.5153	4.8413
  C	0.6223	2.8358	0	0.9748	5.9284	1.2398	0.636	0.2308	2.1413	4.3908
  D	0.4033	6.0082	0.9748	0	3.1149	0.7217	0.3507	0.3011	0.8811	0.9899
  E	0.4854	4.4834	5.9284	3.1149	0	1.1737	2.8873	0.1391	0.7177	0.6221
  F	0.3422	1.4562	1.2398	0.7217	1.1737	0	0.6865	0.4149	0.8672	0.363
  G	0.6792	0.3399	0.636	0.3507	2.8873	0.6865	0	0.3215	0.5621	0.4979
  H	0.4448	0.2954	0.2308	0.3011	0.1391	0.4149	0.3215	0	0.4189	2.5945
  I	0.3281	4.5153	2.1413	0.8811	0.7177	0.8672	0.5621	0.4189	0	1.5973
  J	0.5791	4.8413	4.3908	0.9899	0.6221	0.363	0.4979	2.5945	1.5973	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0314	0.07	0.0454	0.0546	0.0385	0.0764	0.05	0.0369	0.0651
  B	0.0196	0	0.1991	0.4219	0.3148	0.1022	0.0239	0.0207	0.317	0.3399
  C	0.0322	0.1465	0	0.0504	0.3063	0.064	0.0329	0.0119	0.1106	0.2268
  D	0.0285	0.4252	0.069	0	0.2204	0.0511	0.0248	0.0213	0.0624	0.0701
  E	0.0547	0.505	0.6678	0.3509	0	0.1322	0.3252	0.0157	0.0808	0.0701
  F	0.0298	0.1269	0.1081	0.0629	0.1023	0	0.0598	0.0362	0.0756	0.0316
  G	0.0471	0.0235	0.0441	0.0243	0.2	0.0476	0	0.0223	0.0389	0.0345
  H	0.0974	0.0647	0.0505	0.0659	0.0305	0.0908	0.0704	0	0.0917	0.5681
  I	0.0397	0.546	0.2589	0.1065	0.0868	0.1049	0.068	0.0506	0	0.1931
  J	0.0498	0.4161	0.3774	0.0851	0.0535	0.0312	0.0428	0.223	0.1373	0
