Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 14.435419

Equilibrium frequencies (pi_i):
  A: 0.1071
  B: 0.0877
  C: 0.0607
  D: 0.0829
  E: 0.1418
  F: 0.1056
  G: 0.0623
  H: 0.1748
  I: 0.1048
  J: 0.0724

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.3412	0.3625	0.272	0.5415	0.2444	0.267	0.2475	0.3018	0.56
  B	0.3412	0	4.0111	3.2979	3.3869	1.2504	0.5307	0.7314	5.4058	5.5251
  C	0.3625	4.0111	0	0.7784	4.3258	1.0203	0.5248	0.2007	1.0403	4.6219
  D	0.272	3.2979	0.7784	0	2.5199	0.5309	0.3664	0.2272	0.5665	2.2203
  E	0.5415	3.3869	4.3258	2.5199	0	0.9035	3.0014	0.1286	1.498	0.9872
  F	0.2444	1.2504	1.0203	0.5309	0.9035	0	0.3872	0.258	0.5604	0.2705
  G	0.267	0.5307	0.5248	0.3664	3.0014	0.3872	0	0.2384	0.4958	0.4061
  H	0.2475	0.7314	0.2007	0.2272	0.1286	0.258	0.2384	0	0.2181	1.5715
  I	0.3018	5.4058	1.0403	0.5665	1.498	0.5604	0.4958	0.2181	0	1.3131
  J	0.56	5.5251	4.6219	2.2203	0.9872	0.2705	0.4061	1.5715	1.3131	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0366	0.0388	0.0291	0.058	0.0262	0.0286	0.0265	0.0323	0.06
  B	0.0299	0	0.3516	0.2891	0.2969	0.1096	0.0465	0.0641	0.4738	0.4843
  C	0.022	0.2433	0	0.0472	0.2624	0.0619	0.0318	0.0122	0.0631	0.2804
  D	0.0225	0.2733	0.0645	0	0.2088	0.044	0.0304	0.0188	0.0469	0.184
  E	0.0768	0.4803	0.6135	0.3574	0	0.1281	0.4257	0.0182	0.2124	0.14
  F	0.0258	0.1321	0.1078	0.0561	0.0954	0	0.0409	0.0272	0.0592	0.0286
  G	0.0166	0.0331	0.0327	0.0228	0.1869	0.0241	0	0.0148	0.0309	0.0253
  H	0.0432	0.1278	0.0351	0.0397	0.0225	0.0451	0.0417	0	0.0381	0.2746
  I	0.0316	0.5666	0.109	0.0594	0.157	0.0587	0.052	0.0229	0	0.1376
  J	0.0405	0.4	0.3346	0.1608	0.0715	0.0196	0.0294	0.1138	0.0951	0
