Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 9.33045

Equilibrium frequencies (pi_i):
  A: 0.1199
  B: 0.1026
  C: 0.0684
  D: 0.067
  E: 0.1216
  F: 0.0937
  G: 0.07
  H: 0.1681
  I: 0.1254
  J: 0.0632

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.239	0.5262	0.334	0.4134	0.299	0.5464	0.2985	0.3512	0.5086
  B	0.239	0	3.0075	4.0608	3.2431	0.683	0.3144	0.3969	4.3914	4.4424
  C	0.5262	3.0075	0	0.8942	4.5756	1.3367	0.753	0.2751	1.5013	4.9784
  D	0.334	4.0608	0.8942	0	3.2571	0.5462	0.3242	0.4164	0.9967	2.0494
  E	0.4134	3.2431	4.5756	3.2571	0	1.5105	2.4166	0.193	0.978	1.2532
  F	0.299	0.683	1.3367	0.5462	1.5105	0	0.321	0.3276	0.577	0.7861
  G	0.5464	0.3144	0.753	0.3242	2.4166	0.321	0	0.2828	0.3716	0.3872
  H	0.2985	0.3969	0.2751	0.4164	0.193	0.3276	0.2828	0	0.4445	1.4567
  I	0.3512	4.3914	1.5013	0.9967	0.978	0.577	0.3716	0.4445	0	0.9091
  J	0.5086	4.4424	4.9784	2.0494	1.2532	0.7861	0.3872	1.4567	0.9091	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0287	0.0631	0.0401	0.0496	0.0359	0.0655	0.0358	0.0421	0.061
  B	0.0245	0	0.3084	0.4165	0.3326	0.07	0.0322	0.0407	0.4504	0.4556
  C	0.036	0.2058	0	0.0612	0.3131	0.0915	0.0515	0.0188	0.1027	0.3407
  D	0.0224	0.2721	0.0599	0	0.2183	0.0366	0.0217	0.0279	0.0668	0.1373
  E	0.0503	0.3942	0.5562	0.3959	0	0.1836	0.2938	0.0235	0.1189	0.1523
  F	0.028	0.064	0.1253	0.0512	0.1416	0	0.0301	0.0307	0.0541	0.0737
  G	0.0382	0.022	0.0527	0.0227	0.1691	0.0225	0	0.0198	0.026	0.0271
  H	0.0502	0.0667	0.0462	0.07	0.0324	0.0551	0.0475	0	0.0747	0.2449
  I	0.044	0.5507	0.1883	0.125	0.1227	0.0724	0.0466	0.0557	0	0.114
  J	0.0322	0.2809	0.3148	0.1296	0.0792	0.0497	0.0245	0.0921	0.0575	0
