Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 12.442129

Equilibrium frequencies (pi_i):
  A: 0.1036
  B: 0.1084
  C: 0.0482
  D: 0.0736
  E: 0.1302
  F: 0.0884
  G: 0.0542
  H: 0.1904
  I: 0.1325
  J: 0.0703

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2368	0.7246	0.2919	0.5686	0.2783	0.3296	0.2985	0.3283	0.5118
  B	0.2368	0	4.2879	2.579	1.9288	0.601	0.4679	0.441	4.2757	4.2606
  C	0.7246	4.2879	0	1.395	4.5737	1.8876	0.8085	0.2148	1.6523	5.2273
  D	0.2919	2.579	1.395	0	3.3527	0.5074	0.4371	0.252	1.4562	1.8451
  E	0.5686	1.9288	4.5737	3.3527	0	1.3441	3.7628	0.1252	1.2585	0.6675
  F	0.2783	0.601	1.8876	0.5074	1.3441	0	0.2934	0.2691	0.3334	0.2811
  G	0.3296	0.4679	0.8085	0.4371	3.7628	0.2934	0	0.2691	0.4566	0.4195
  H	0.2985	0.441	0.2148	0.252	0.1252	0.2691	0.2691	0	0.4672	1.6693
  I	0.3283	4.2757	1.6523	1.4562	1.2585	0.3334	0.4566	0.4672	0	1.9861
  J	0.5118	4.2606	5.2273	1.8451	0.6675	0.2811	0.4195	1.6693	1.9861	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0245	0.0751	0.0302	0.0589	0.0288	0.0341	0.0309	0.034	0.053
  B	0.0257	0	0.465	0.2797	0.2092	0.0652	0.0507	0.0478	0.4637	0.462
  C	0.035	0.2069	0	0.0673	0.2207	0.0911	0.039	0.0104	0.0797	0.2522
  D	0.0215	0.1899	0.1027	0	0.2469	0.0374	0.0322	0.0186	0.1072	0.1359
  E	0.0741	0.2512	0.5957	0.4366	0	0.1751	0.4901	0.0163	0.1639	0.0869
  F	0.0246	0.0531	0.1669	0.0449	0.1188	0	0.0259	0.0238	0.0295	0.0249
  G	0.0179	0.0254	0.0438	0.0237	0.2041	0.0159	0	0.0146	0.0248	0.0228
  H	0.0568	0.084	0.0409	0.048	0.0238	0.0512	0.0512	0	0.0889	0.3178
  I	0.0435	0.5667	0.219	0.193	0.1668	0.0442	0.0605	0.0619	0	0.2632
  J	0.036	0.2995	0.3674	0.1297	0.0469	0.0198	0.0295	0.1173	0.1396	0
