strain,accession,subtype,date,host,country,region,species,broad,order,n_segments
A/canine/Nanjing/20170704-53/2017|2017-07-04,EPI1554827,H3N2,2017-07-04,Canine,China,China,Canine,canine,Canine,8
A/canine/Nanjing/404/2017|2017-11-01,ON877912,H3N2,2017-11-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Nanjing/543/2018|2018-01-01,ON877920,H3N2,2018-01-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Nevada/BRW015/2018|2018-02-07,MK690592,H3N2,2018-02-07,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Nevada/BRW018/2018|2018-03-01,MK690600,H3N2,2018-03-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/New_Jersey/CRP036/2018|2018-05-13,MK690608,H3N2,2018-05-13,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/New_York/CRP034/2018|2018-05-07,MK690616,H3N2,2018-05-07,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/North_Carolina/090487/2017|2017-05-26,EPI1308048,H3N2,2017-05-26,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/North_Carolina/103297/2015|2015-09-01,EPI1308081,H3N2,2015-09-01,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/North_Carolina/109904/2015|2015-07-29,EPI838666,H3N2,2015-07-29,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/NorthCarolina/20170606-28/2017|2017-04-01,EPI1224025,H3N2,2017-04-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Ohio/174509/2017|2017-10-08,EPI1308056,H3N2,2017-10-08,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Ohio/188191/2017|2017-10-31,MK690132,H3N2,2017-10-31,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Ohio/A82/2017|2017-10-28,EPI1307980,H3N2,2017-10-28,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Ohio/A91/2017|2017-10-28,EPI1307988,H3N2,2017-10-28,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Ohio/A97/2017|2017-10-28,EPI1307996,H3N2,2017-10-28,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Oklahoma/011242/2023|2023-04-05,EPI2564010,H3N2,2023-04-05,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Oklahoma/23-011242-001/2023|2023-04-05,OQ990382,H3N2,2023-04-05,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-001-4/2018|2018-01-05,EPI1772337,H3N2,2018-01-05,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-064-1/2018|2018-10-15,EPI1772345,H3N2,2018-10-15,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-069-1/2018|2018-10-22,EPI1772353,H3N2,2018-10-22,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-069-10/2018|2018-10-18,EPI1772361,H3N2,2018-10-18,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-069-6/2018|2018-10-22,EPI1772369,H3N2,2018-10-22,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-069-9/2018|2018-10-24,EPI1772377,H3N2,2018-10-24,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-1/2018|2018-01-09,EPI1772385,H3N2,2018-01-09,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-10/2018|2018-03-09,EPI1772393,H3N2,2018-03-09,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-11/2018|2018-03-09,EPI1772401,H3N2,2018-03-09,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-12/2018|2018-03-13,EPI1772409,H3N2,2018-03-13,Canine,Canada,North America,Canine,canine,Canine,8
