strain,accession,subtype,date,host,country,region,species,broad,order,n_segments
A/canine/Kentucky/20170606-6/2017|2017-04-01,MG982792,H3N2,2017-04-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Korea/01/2007|2007-05-01,JX163260,H3N2,2007-05-01,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/0589318/2015|2015-03-05,EPI838691,H3N2,2015-03-05,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/AS-01/2009|2009-09-18,EPI1226380,H3N2,2009-09-18,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/AS-03/2012|2012-05-10,EPI1226381,H3N2,2012-05-10,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/AS-04/2012|2012-06-11,EPI1226382,H3N2,2012-06-11,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/AS-05/2012|2012-07-14,EPI1226383,H3N2,2012-07-14,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/AS-06/2012|2012-08-24,EPI1226384,H3N2,2012-08-24,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/AS-08/2012|2012-09-17,EPI1226385,H3N2,2012-09-17,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/AS-09/2012|2012-10-15,EPI1226386,H3N2,2012-10-15,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/AS-11/2013|2013-06-08,EPI1226387,H3N2,2013-06-08,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/AS-14/2013|2013-08-09,EPI1226388,H3N2,2013-08-09,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/AS-15/2013|2013-09-11,EPI1226389,H3N2,2013-09-11,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/BD-1/2013|2013-05-30,KR154325,H3N2,2013-05-30,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/CY009/2010|2010-10-01,KC755925,H3N2,2010-10-01,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/CY053/2014|2014-03-02,KX509810,H3N2,2014-03-02,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/DG1/2014|2014-02-13,KR154333,H3N2,2014-02-13,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/GCVP01/2007|2007-01-01,FJ560886,H3N2,2007-01-01,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/KRIBB01/2011|2011-11-01,JX679529,H3N2,2011-11-01,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/LBM412/2008|2008-10-01,GU122091,H3N2,2008-10-01,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/MV1/2012|2012-11-07,EPI460109,H3N2,2012-11-07,Canine,South Korea,Japan Korea,Canine,Canine,Canine,8
A/canine/Korea/S1/2012|2012-11-05,EPI559608,H3N2,2012-11-05,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
A/canine/Korea/SH1/2014|2014-09-01,EPI2467568,H3N2,2014-09-01,Canine,South Korea,Japan Korea,Canine,Canine,Canine,8
A/canine/Korea/SH2/2016|2016-07-22,EPI2467944,H3N2,2016-07-22,Canine,South Korea,Japan Korea,Canine,Canine,Canine,8
A/canine/Korea/SH3/2016|2016-07-22,EPI2468085,H3N2,2016-07-22,Canine,South Korea,Japan Korea,Canine,Canine,Canine,8
A/canine/Korea/SH4/2016|2016-07-22,EPI2468351,H3N2,2016-07-22,Canine,South Korea,Japan Korea,Canine,Canine,Canine,8
A/canine/Korea/SH5/2015|2015-11-20,EPI2468356,H3N2,2015-11-20,Canine,South Korea,Japan Korea,Canine,Canine,Canine,8
A/canine/Korea/SH6/2017|2017-11-07,EPI2468364,H3N2,2017-11-07,Canine,South Korea,Japan Korea,Canine,Canine,Canine,8
A/canine/Korea/VC123578/2012|2012-03-13,EPI544910,H3N2,2012-03-13,Canine,South Korea,Japan Korea,Canine,Canine,Canine,8
A/canine/Korea/VC378/2012|2012-03-13,EPI544903,H3N2,2012-03-13,Canine,South Korea,Japan Korea,Canine,Canine,Canine,8
A/canine/Liaoning/10/2018|2018-11-01,ON877863,H3N2,2018-11-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Liaoning/1388/2019|2019-09-01,ON877879,H3N2,2019-09-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Liaoning/1578/2010|2010-04-06,JX101437,H3N2,2010-04-06,Canine,China,China,Canine,canine,Canine,8
A/canine/Liaoning/1585/2010|2010-04-06,JX101349,H3N2,2010-04-06,Canine,China,China,Canine,canine,Canine,8
A/canine/Liaoning/27/2012|2012-04-11,EPI531352,H3N2,2012-04-11,Canine,China,China,Canine,canine,Canine,8
A/canine/Liaoning/282/2017|2017-08-01,ON877887,H3N2,2017-08-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Liaoning/284/2017|2017-08-01,ON877895,H3N2,2017-08-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Liaoning/530/2018|2018-01-01,ON877903,H3N2,2018-01-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Liaoning/H6/2012|2012-05-19,EPI531360,H3N2,2012-05-19,Canine,China,China,Canine,canine,Canine,8
A/canine/Minnesota/012684/2023|2023-04-17,EPI2564007,H3N2,2023-04-17,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Minnesota/139684/2017|2017-08-10,EPI1308039,H3N2,2017-08-10,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Minnesota/23-012684-001/2023|2023-04-17,OQ990379,H3N2,2023-04-17,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Nanjing/20170328-7/2017|2017-03-28,MK212481,H3N2,2017-03-28,Canine,China,China,Canine,canine,Canine,8
A/canine/Nanjing/20170419-12/2017|2017-04-19,MK212473,H3N2,2017-04-19,Canine,China,China,Canine,canine,Canine,8
A/canine/Nanjing/20170515-25/2017|2017-05-15,MK212465,H3N2,2017-05-15,Canine,China,China,Canine,canine,Canine,8
A/canine/Nanjing/20170607-40/2017|2017-06-07,MK212457,H3N2,2017-06-07,Canine,China,China,Canine,canine,Canine,8
A/canine/Nanjing/20170620-47/2017|2017-06-20,MK212449,H3N2,2017-06-20,Canine,China,China,Canine,canine,Canine,8
A/canine/Nanjing/20170704-53/2017|2017-07-04,MK212441,H3N2,2017-07-04,Canine,China,China,Canine,canine,Canine,8
A/canine/Nanjing/404/2017|2017-11-01,ON877911,H3N2,2017-11-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Nanjing/543/2018|2018-01-01,ON877919,H3N2,2018-01-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Nevada/BRW015/2018|2018-02-07,MK690597,H3N2,2018-02-07,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Nevada/BRW018/2018|2018-03-01,MK690605,H3N2,2018-03-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/New_Jersey/CRP036/2018|2018-05-13,MK690613,H3N2,2018-05-13,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/New_York/CRP034/2018|2018-05-07,MK690621,H3N2,2018-05-07,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/North_Carolina/090487/2017|2017-05-26,EPI1308047,H3N2,2017-05-26,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/North_Carolina/103297/2015|2015-09-01,EPI1308066,H3N2,2015-09-01,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/North_Carolina/109904/2015|2015-07-29,EPI838672,H3N2,2015-07-29,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/NorthCarolina/20170606-28/2017|2017-04-01,MG982703,H3N2,2017-04-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Ohio/174509/2017|2017-10-08,EPI1308055,H3N2,2017-10-08,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Ohio/188191/2017|2017-10-31,MK690127,H3N2,2017-10-31,Canine,Usa,North America,Canine,canine,Canine,8
