Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 9.046813

Equilibrium frequencies (pi_i):
  A: 0.1102
  B: 0.0676
  C: 0.0546
  D: 0.0752
  E: 0.1099
  F: 0.0832
  G: 0.0675
  H: 0.2257
  I: 0.118
  J: 0.0881

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2835	0.5739	0.4019	0.5343	0.4864	0.6815	0.4441	0.3156	0.5796
  B	0.2835	0	2.8192	5.7535	4.7146	1.3374	0.3626	0.2486	4.4372	4.7128
  C	0.5739	2.8192	0	0.9795	5.5637	1.1303	0.5816	0.2307	2.0352	4.2901
  D	0.4019	5.7535	0.9795	0	2.8373	0.6804	0.3455	0.2998	0.8685	1.0634
  E	0.5343	4.7146	5.5637	2.8373	0	1.3579	3.1781	0.1392	1.0116	0.6075
  F	0.4864	1.3374	1.1303	0.6804	1.3579	0	0.6794	0.4598	0.8817	0.3931
  G	0.6815	0.3626	0.5816	0.3455	3.1781	0.6794	0	0.3209	0.3836	0.4981
  H	0.4441	0.2486	0.2307	0.2998	0.1392	0.4598	0.3209	0	0.4089	2.5872
  I	0.3156	4.4372	2.0352	0.8685	1.0116	0.8817	0.3836	0.4089	0	1.6343
  J	0.5796	4.7128	4.2901	1.0634	0.6075	0.3931	0.4981	2.5872	1.6343	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0313	0.0633	0.0443	0.0589	0.0536	0.0751	0.049	0.0348	0.0639
  B	0.0192	0	0.1905	0.3888	0.3186	0.0904	0.0245	0.0168	0.2999	0.3185
  C	0.0313	0.1539	0	0.0535	0.3037	0.0617	0.0317	0.0126	0.1111	0.2342
  D	0.0302	0.4329	0.0737	0	0.2135	0.0512	0.026	0.0226	0.0653	0.08
  E	0.0587	0.518	0.6113	0.3117	0	0.1492	0.3492	0.0153	0.1112	0.0667
  F	0.0405	0.1113	0.0941	0.0566	0.113	0	0.0565	0.0383	0.0734	0.0327
  G	0.046	0.0245	0.0392	0.0233	0.2144	0.0458	0	0.0216	0.0259	0.0336
  H	0.1002	0.0561	0.0521	0.0676	0.0314	0.1038	0.0724	0	0.0923	0.5838
  I	0.0372	0.5236	0.2402	0.1025	0.1194	0.104	0.0453	0.0482	0	0.1928
  J	0.0511	0.4154	0.3781	0.0937	0.0535	0.0346	0.0439	0.228	0.144	0
