Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 14.772575

Equilibrium frequencies (pi_i):
  A: 0.1155
  B: 0.0849
  C: 0.0447
  D: 0.0599
  E: 0.1204
  F: 0.1001
  G: 0.0606
  H: 0.2016
  I: 0.1214
  J: 0.0908

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.255	0.7203	0.34	0.4602	0.2883	0.4857	0.3427	0.3427	0.5056
  B	0.255	0	3.7554	3.2705	4.2627	1.1878	0.4105	0.3048	4.1267	4.9615
  C	0.7203	3.7554	0	1.6131	5.8556	1.1832	0.5346	0.5407	2.3468	4.5163
  D	0.34	3.2705	1.6131	0	3.8404	0.5791	0.2962	0.2748	1.5372	2.6397
  E	0.4602	4.2627	5.8556	3.8404	0	1.1129	3.3854	0.1384	1.3004	0.6807
  F	0.2883	1.1878	1.1832	0.5791	1.1129	0	0.5033	0.5464	0.4389	0.6326
  G	0.4857	0.4105	0.5346	0.2962	3.3854	0.5033	0	0.2711	0.6514	0.3394
  H	0.3427	0.3048	0.5407	0.2748	0.1384	0.5464	0.2711	0	0.297	1.6776
  I	0.3427	4.1267	2.3468	1.5372	1.3004	0.4389	0.6514	0.297	0	0.6112
  J	0.5056	4.9615	4.5163	2.6397	0.6807	0.6326	0.3394	1.6776	0.6112	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0294	0.0832	0.0393	0.0532	0.0333	0.0561	0.0396	0.0396	0.0584
  B	0.0217	0	0.319	0.2778	0.3621	0.1009	0.0349	0.0259	0.3506	0.4215
  C	0.0322	0.1678	0	0.0721	0.2616	0.0529	0.0239	0.0242	0.1049	0.2018
  D	0.0204	0.196	0.0967	0	0.2302	0.0347	0.0178	0.0165	0.0921	0.1582
  E	0.0554	0.5134	0.7052	0.4625	0	0.134	0.4077	0.0167	0.1566	0.082
  F	0.0289	0.1189	0.1185	0.058	0.1114	0	0.0504	0.0547	0.0439	0.0633
  G	0.0294	0.0249	0.0324	0.0179	0.2051	0.0305	0	0.0164	0.0395	0.0206
  H	0.0691	0.0614	0.109	0.0554	0.0279	0.1101	0.0546	0	0.0599	0.3382
  I	0.0416	0.5011	0.285	0.1867	0.1579	0.0533	0.0791	0.0361	0	0.0742
  J	0.0459	0.4505	0.4101	0.2397	0.0618	0.0574	0.0308	0.1523	0.0555	0
