Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 9.030043

Equilibrium frequencies (pi_i):
  A: 0.1113
  B: 0.0625
  C: 0.0597
  D: 0.0794
  E: 0.1136
  F: 0.0912
  G: 0.058
  H: 0.2211
  I: 0.1149
  J: 0.0883

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2849	0.5843	0.4032	0.5232	0.3822	0.6684	0.4447	0.3168	0.5803
  B	0.2849	0	3.0439	5.7592	4.9605	1.4259	0.4193	0.2523	4.6987	4.7774
  C	0.5843	3.0439	0	0.9286	5.4441	0.9759	0.579	0.2298	1.8891	4.0982
  D	0.4032	5.7592	0.9286	0	2.7143	0.6483	0.3517	0.3014	0.834	1.0544
  E	0.5232	4.9605	5.4441	2.7143	0	1.2555	3.5566	0.1413	0.9317	0.6532
  F	0.3822	1.4259	0.9759	0.6483	1.2555	0	0.7841	0.4511	0.9422	0.3655
  G	0.6684	0.4193	0.579	0.3517	3.5566	0.7841	0	0.321	0.4489	0.4422
  H	0.4447	0.2523	0.2298	0.3014	0.1413	0.4511	0.321	0	0.4105	2.4448
  I	0.3168	4.6987	1.8891	0.834	0.9317	0.9422	0.4489	0.4105	0	1.6891
  J	0.5803	4.7774	4.0982	1.0544	0.6532	0.3655	0.4422	2.4448	1.6891	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0317	0.065	0.0449	0.0582	0.0425	0.0744	0.0495	0.0353	0.0646
  B	0.0178	0	0.1901	0.3597	0.3098	0.0891	0.0262	0.0158	0.2935	0.2984
  C	0.0349	0.1816	0	0.0554	0.3249	0.0582	0.0346	0.0137	0.1127	0.2445
  D	0.032	0.4571	0.0737	0	0.2154	0.0514	0.0279	0.0239	0.0662	0.0837
  E	0.0594	0.5634	0.6183	0.3083	0	0.1426	0.4039	0.016	0.1058	0.0742
  F	0.0349	0.1301	0.089	0.0592	0.1146	0	0.0716	0.0412	0.086	0.0333
  G	0.0388	0.0243	0.0336	0.0204	0.2064	0.0455	0	0.0186	0.026	0.0257
  H	0.0983	0.0558	0.0508	0.0666	0.0312	0.0997	0.071	0	0.0908	0.5405
  I	0.0364	0.5399	0.2171	0.0958	0.1071	0.1083	0.0516	0.0472	0	0.1941
  J	0.0513	0.4221	0.3621	0.0932	0.0577	0.0323	0.0391	0.216	0.1492	0
