Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 9.237159

Equilibrium frequencies (pi_i):
  A: 0.1111
  B: 0.063
  C: 0.0548
  D: 0.0759
  E: 0.1206
  F: 0.0886
  G: 0.0623
  H: 0.2187
  I: 0.1154
  J: 0.0897

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2825	0.5696	0.3992	0.51	0.4825	0.6734	0.44	0.3319	0.5745
  B	0.2825	0	3.0394	6.051	4.8857	1.4125	0.3668	0.3115	4.6491	4.8044
  C	0.5696	3.0394	0	0.8775	5.2911	1.1519	0.6796	0.231	2.0864	4.1624
  D	0.3992	6.051	0.8775	0	2.7781	0.7339	0.354	0.2988	0.8444	1.0428
  E	0.51	4.8857	5.2911	2.7781	0	1.159	3.4407	0.1379	0.7849	0.5884
  F	0.4825	1.4125	1.1519	0.7339	1.159	0	0.7213	0.3752	0.9403	0.3853
  G	0.6734	0.3668	0.6796	0.354	3.4407	0.7213	0	0.3187	0.5109	0.4434
  H	0.44	0.3115	0.231	0.2988	0.1379	0.3752	0.3187	0	0.4075	2.5794
  I	0.3319	4.6491	2.0864	0.8444	0.7849	0.9403	0.5109	0.4075	0	1.3949
  J	0.5745	4.8044	4.1624	1.0428	0.5884	0.3853	0.4434	2.5794	1.3949	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0314	0.0633	0.0444	0.0567	0.0536	0.0748	0.0489	0.0369	0.0638
  B	0.0178	0	0.1914	0.381	0.3076	0.0889	0.0231	0.0196	0.2927	0.3025
  C	0.0312	0.1664	0	0.048	0.2897	0.0631	0.0372	0.0126	0.1142	0.2279
  D	0.0303	0.4591	0.0666	0	0.2108	0.0557	0.0269	0.0227	0.0641	0.0791
  E	0.0615	0.5894	0.6383	0.3351	0	0.1398	0.4151	0.0166	0.0947	0.071
  F	0.0427	0.1251	0.102	0.065	0.1027	0	0.0639	0.0332	0.0833	0.0341
  G	0.042	0.0229	0.0424	0.0221	0.2145	0.045	0	0.0199	0.0318	0.0276
  H	0.0962	0.0681	0.0505	0.0653	0.0302	0.082	0.0697	0	0.0891	0.5641
  I	0.0383	0.5364	0.2407	0.0974	0.0906	0.1085	0.0589	0.047	0	0.161
  J	0.0515	0.4309	0.3733	0.0935	0.0528	0.0346	0.0398	0.2313	0.1251	0
