Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 9.413178

Equilibrium frequencies (pi_i):
  A: 0.1298
  B: 0.0855
  C: 0.0638
  D: 0.0654
  E: 0.1288
  F: 0.0927
  G: 0.0658
  H: 0.178
  I: 0.1173
  J: 0.0729

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2379	0.5056	0.344	0.3379	0.4265	0.5704	0.3034	0.3529	0.5185
  B	0.2379	0	3.2474	4.2568	4.4103	0.9228	0.3546	0.3902	4.498	4.3548
  C	0.5056	3.2474	0	0.9976	4.7437	1.5236	0.9465	0.3363	1.5495	4.7442
  D	0.344	4.2568	0.9976	0	3.3312	0.6541	0.3357	0.4204	1.0564	1.9937
  E	0.3379	4.4103	4.7437	3.3312	0	1.2455	2.562	0.1354	0.9006	0.9515
  F	0.4265	0.9228	1.5236	0.6541	1.2455	0	0.4025	0.4607	0.7873	0.6191
  G	0.5704	0.3546	0.9465	0.3357	2.562	0.4025	0	0.2868	0.3828	0.4427
  H	0.3034	0.3902	0.3363	0.4204	0.1354	0.4607	0.2868	0	0.4654	1.4071
  I	0.3529	4.498	1.5495	1.0564	0.9006	0.7873	0.3828	0.4654	0	1.0111
  J	0.5185	4.3548	4.7442	1.9937	0.9515	0.6191	0.4427	1.4071	1.0111	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0309	0.0656	0.0446	0.0438	0.0553	0.074	0.0394	0.0458	0.0673
  B	0.0203	0	0.2777	0.364	0.3771	0.0789	0.0303	0.0334	0.3846	0.3723
  C	0.0323	0.2073	0	0.0637	0.3028	0.0973	0.0604	0.0215	0.0989	0.3028
  D	0.0225	0.2784	0.0652	0	0.2178	0.0428	0.0219	0.0275	0.0691	0.1304
  E	0.0435	0.5681	0.611	0.4291	0	0.1604	0.33	0.0174	0.116	0.1226
  F	0.0395	0.0855	0.1412	0.0606	0.1154	0	0.0373	0.0427	0.0729	0.0574
  G	0.0375	0.0233	0.0623	0.0221	0.1685	0.0265	0	0.0189	0.0252	0.0291
  H	0.054	0.0695	0.0599	0.0748	0.0241	0.082	0.0511	0	0.0829	0.2505
  I	0.0414	0.5277	0.1818	0.1239	0.1056	0.0924	0.0449	0.0546	0	0.1186
  J	0.0378	0.3175	0.3459	0.1454	0.0694	0.0451	0.0323	0.1026	0.0737	0
