Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 9.100506

Equilibrium frequencies (pi_i):
  A: 0.1106
  B: 0.0741
  C: 0.0482
  D: 0.0778
  E: 0.1138
  F: 0.0819
  G: 0.0692
  H: 0.2188
  I: 0.1219
  J: 0.0836

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2838	0.6039	0.4042	0.5113	0.4967	0.6769	0.4459	0.3208	0.5815
  B	0.2838	0	3.2115	5.8728	4.1867	1.3801	0.3887	0.2445	4.533	4.749
  C	0.6039	3.2115	0	1.0305	5.7863	1.3636	0.584	0.2292	1.8881	4.4353
  D	0.4042	5.8728	1.0305	0	2.8725	0.7861	0.3501	0.3025	0.7826	1.0684
  E	0.5113	4.1867	5.7863	2.8725	0	1.21	3.1238	0.1427	0.8257	0.6953
  F	0.4967	1.3801	1.3636	0.7861	1.21	0	0.6793	0.4633	0.8676	0.3953
  G	0.6769	0.3887	0.584	0.3501	3.1238	0.6793	0	0.3225	0.4221	0.4995
  H	0.4459	0.2445	0.2292	0.3025	0.1427	0.4633	0.3225	0	0.413	2.4498
  I	0.3208	4.533	1.8881	0.7826	0.8257	0.8676	0.4221	0.413	0	1.4293
  J	0.5815	4.749	4.4353	1.0684	0.6953	0.3953	0.4995	2.4498	1.4293	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0314	0.0668	0.0447	0.0566	0.055	0.0749	0.0493	0.0355	0.0643
  B	0.021	0	0.2381	0.4354	0.3104	0.1023	0.0288	0.0181	0.3361	0.3521
  C	0.0291	0.1549	0	0.0497	0.279	0.0658	0.0282	0.0111	0.0911	0.2139
  D	0.0314	0.4568	0.0801	0	0.2234	0.0611	0.0272	0.0235	0.0609	0.0831
  E	0.0582	0.4763	0.6583	0.3268	0	0.1377	0.3554	0.0162	0.0939	0.0791
  F	0.0407	0.1131	0.1117	0.0644	0.0991	0	0.0557	0.038	0.0711	0.0324
  G	0.0468	0.0269	0.0404	0.0242	0.2161	0.047	0	0.0223	0.0292	0.0346
  H	0.0976	0.0535	0.0502	0.0662	0.0312	0.1014	0.0706	0	0.0904	0.5361
  I	0.0391	0.5524	0.2301	0.0954	0.1006	0.1057	0.0514	0.0503	0	0.1742
  J	0.0486	0.3972	0.3709	0.0894	0.0582	0.0331	0.0418	0.2049	0.1195	0
