Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 14.668269

Equilibrium frequencies (pi_i):
  A: 0.1161
  B: 0.0821
  C: 0.0478
  D: 0.0601
  E: 0.121
  F: 0.1006
  G: 0.0609
  H: 0.2024
  I: 0.1218
  J: 0.0872

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2562	0.7208	0.3419	0.4605	0.2892	0.4871	0.3438	0.3438	0.5064
  B	0.2562	0	3.7486	3.2974	4.4423	1.2019	0.4118	0.3049	4.1386	4.988
  C	0.7208	3.7486	0	1.6069	5.6203	1.1728	0.5333	0.5425	2.3438	4.2029
  D	0.3419	3.2974	1.6069	0	3.8485	0.5814	0.2968	0.2758	1.5442	2.6533
  E	0.4605	4.4423	5.6203	3.8485	0	1.1141	3.3867	0.1385	1.3047	0.8368
  F	0.2892	1.2019	1.1728	0.5814	1.1141	0	0.5045	0.5479	0.4415	0.6337
  G	0.4871	0.4118	0.5333	0.2968	3.3867	0.5045	0	0.2718	0.6537	0.3337
  H	0.3438	0.3049	0.5425	0.2758	0.1385	0.5479	0.2718	0	0.298	1.6771
  I	0.3438	4.1386	2.3438	1.5442	1.3047	0.4415	0.6537	0.298	0	0.6137
  J	0.5064	4.988	4.2029	2.6533	0.8368	0.6337	0.3337	1.6771	0.6137	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0298	0.0837	0.0397	0.0535	0.0336	0.0566	0.0399	0.0399	0.0588
  B	0.021	0	0.3078	0.2708	0.3648	0.0987	0.0338	0.025	0.3398	0.4096
  C	0.0345	0.1792	0	0.0768	0.2687	0.0561	0.0255	0.0259	0.112	0.2009
  D	0.0205	0.1982	0.0966	0	0.2313	0.0349	0.0178	0.0166	0.0928	0.1595
  E	0.0557	0.5377	0.6803	0.4658	0	0.1349	0.4099	0.0168	0.1579	0.1013
  F	0.0291	0.1209	0.118	0.0585	0.1121	0	0.0508	0.0551	0.0444	0.0637
  G	0.0296	0.0251	0.0325	0.0181	0.2061	0.0307	0	0.0165	0.0398	0.0203
  H	0.0696	0.0617	0.1098	0.0558	0.028	0.1109	0.055	0	0.0603	0.3394
  I	0.0419	0.5042	0.2855	0.1881	0.159	0.0538	0.0796	0.0363	0	0.0748
  J	0.0442	0.4349	0.3665	0.2313	0.073	0.0553	0.0291	0.1462	0.0535	0
