Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 14.441701

Equilibrium frequencies (pi_i):
  A: 0.1071
  B: 0.0877
  C: 0.0607
  D: 0.0829
  E: 0.1421
  F: 0.1056
  G: 0.0622
  H: 0.1747
  I: 0.1048
  J: 0.0721

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.3411	0.3625	0.2719	0.5413	0.2443	0.267	0.2474	0.3017	0.5599
  B	0.3411	0	4.0074	3.2959	3.3832	1.2503	0.531	0.731	5.4059	5.529
  C	0.3625	4.0074	0	0.7781	4.3149	1.0198	0.5253	0.2005	1.0397	4.6239
  D	0.2719	3.2959	0.7781	0	2.5189	0.5307	0.3664	0.2272	0.5663	2.2215
  E	0.5413	3.3832	4.3149	2.5189	0	0.9032	2.9999	0.1286	1.4973	0.9974
  F	0.2443	1.2503	1.0198	0.5307	0.9032	0	0.3872	0.2579	0.5602	0.2708
  G	0.267	0.531	0.5253	0.3664	2.9999	0.3872	0	0.2383	0.4959	0.4064
  H	0.2474	0.731	0.2005	0.2272	0.1286	0.2579	0.2383	0	0.2181	1.5716
  I	0.3017	5.4059	1.0397	0.5663	1.4973	0.5602	0.4959	0.2181	0	1.3141
  J	0.5599	5.529	4.6239	2.2215	0.9974	0.2708	0.4064	1.5716	1.3141	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0365	0.0388	0.0291	0.058	0.0262	0.0286	0.0265	0.0323	0.06
  B	0.0299	0	0.3514	0.289	0.2967	0.1096	0.0466	0.0641	0.4741	0.4849
  C	0.022	0.2434	0	0.0473	0.2621	0.0619	0.0319	0.0122	0.0632	0.2809
  D	0.0225	0.2731	0.0645	0	0.2087	0.044	0.0304	0.0188	0.0469	0.1841
  E	0.0769	0.4808	0.6132	0.3579	0	0.1283	0.4263	0.0183	0.2128	0.1417
  F	0.0258	0.132	0.1077	0.056	0.0954	0	0.0409	0.0272	0.0592	0.0286
  G	0.0166	0.0331	0.0327	0.0228	0.1867	0.0241	0	0.0148	0.0309	0.0253
  H	0.0432	0.1277	0.035	0.0397	0.0225	0.0451	0.0416	0	0.0381	0.2746
  I	0.0316	0.5664	0.1089	0.0593	0.1569	0.0587	0.052	0.0228	0	0.1377
  J	0.0404	0.3988	0.3335	0.1602	0.0719	0.0195	0.0293	0.1134	0.0948	0
