Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 9.096666

Equilibrium frequencies (pi_i):
  A: 0.1109
  B: 0.0708
  C: 0.0497
  D: 0.0739
  E: 0.1258
  F: 0.081
  G: 0.0631
  H: 0.2187
  I: 0.1197
  J: 0.0864

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2836	0.6031	0.4031	0.509	0.4953	0.6738	0.4451	0.3198	0.5808
  B	0.2836	0	3.4914	5.7872	4.0959	1.2563	0.4452	0.2547	4.4428	4.6933
  C	0.6031	3.4914	0	1.0279	5.4243	1.3807	0.7359	0.2287	1.732	4.3662
  D	0.4031	5.7872	1.0279	0	2.8589	0.7624	0.3521	0.3014	0.8737	0.9793
  E	0.509	4.0959	5.4243	2.8589	0	1.3554	3.1616	0.1426	0.9289	0.7406
  F	0.4953	1.2563	1.3807	0.7624	1.3554	0	0.6806	0.4593	0.6871	0.3872
  G	0.6738	0.4452	0.7359	0.3521	3.1616	0.6806	0	0.3216	0.3765	0.3991
  H	0.4451	0.2547	0.2287	0.3014	0.1426	0.4593	0.3216	0	0.4128	2.4458
  I	0.3198	4.4428	1.732	0.8737	0.9289	0.6871	0.3765	0.4128	0	1.4193
  J	0.5808	4.6933	4.3662	0.9793	0.7406	0.3872	0.3991	2.4458	1.4193	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0315	0.0669	0.0447	0.0565	0.0549	0.0747	0.0494	0.0355	0.0644
  B	0.0201	0	0.2471	0.4095	0.2898	0.0889	0.0315	0.018	0.3144	0.3321
  C	0.03	0.1736	0	0.0511	0.2697	0.0687	0.0366	0.0114	0.0861	0.2171
  D	0.0298	0.4275	0.0759	0	0.2112	0.0563	0.026	0.0223	0.0645	0.0723
  E	0.064	0.5151	0.6822	0.3596	0	0.1705	0.3976	0.0179	0.1168	0.0932
  F	0.0401	0.1018	0.1118	0.0618	0.1098	0	0.0551	0.0372	0.0557	0.0314
  G	0.0425	0.0281	0.0464	0.0222	0.1995	0.0429	0	0.0203	0.0238	0.0252
  H	0.0973	0.0557	0.05	0.0659	0.0312	0.1004	0.0703	0	0.0903	0.5348
  I	0.0383	0.532	0.2074	0.1046	0.1112	0.0823	0.0451	0.0494	0	0.1699
  J	0.0502	0.4057	0.3774	0.0847	0.064	0.0335	0.0345	0.2114	0.1227	0
