Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 14.713552

Equilibrium frequencies (pi_i):
  A: 0.1159
  B: 0.0825
  C: 0.046
  D: 0.0601
  E: 0.1206
  F: 0.1004
  G: 0.0608
  H: 0.2022
  I: 0.1217
  J: 0.0899

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2556	0.7197	0.3409	0.46	0.2887	0.4861	0.3431	0.3431	0.5056
  B	0.2556	0	3.739	3.2822	4.4358	1.1955	0.4105	0.3045	4.1278	4.9649
  C	0.7197	3.739	0	1.6052	5.8184	1.1727	0.5316	0.5411	2.3394	4.4407
  D	0.3409	3.2822	1.6052	0	3.8452	0.5799	0.2961	0.2752	1.5398	2.6418
  E	0.46	4.4358	5.8184	3.8452	0	1.1152	3.3881	0.1383	1.303	0.7593
  F	0.2887	1.1955	1.1727	0.5799	1.1152	0	0.503	0.5468	0.44	0.6325
  G	0.4861	0.4105	0.5316	0.2961	3.3881	0.503	0	0.2713	0.6521	0.3359
  H	0.3431	0.3045	0.5411	0.2752	0.1383	0.5468	0.2713	0	0.2974	1.6768
  I	0.3431	4.1278	2.3394	1.5398	1.303	0.44	0.6521	0.2974	0	0.6113
  J	0.5056	4.9649	4.4407	2.6418	0.7593	0.6325	0.3359	1.6768	0.6113	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0296	0.0834	0.0395	0.0533	0.0335	0.0564	0.0398	0.0398	0.0586
  B	0.0211	0	0.3084	0.2707	0.3659	0.0986	0.0339	0.0251	0.3405	0.4095
  C	0.0331	0.1719	0	0.0738	0.2675	0.0539	0.0244	0.0249	0.1076	0.2042
  D	0.0205	0.1971	0.0964	0	0.2309	0.0348	0.0178	0.0165	0.0925	0.1587
  E	0.0555	0.535	0.7018	0.4638	0	0.1345	0.4087	0.0167	0.1572	0.0916
  F	0.029	0.12	0.1177	0.0582	0.1119	0	0.0505	0.0549	0.0442	0.0635
  G	0.0295	0.0249	0.0323	0.018	0.2059	0.0306	0	0.0165	0.0396	0.0204
  H	0.0694	0.0616	0.1094	0.0556	0.028	0.1106	0.0549	0	0.0601	0.3391
  I	0.0418	0.5025	0.2848	0.1874	0.1586	0.0536	0.0794	0.0362	0	0.0744
  J	0.0454	0.4462	0.3991	0.2374	0.0682	0.0568	0.0302	0.1507	0.0549	0
