Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 14.381985

Equilibrium frequencies (pi_i):
  A: 0.1071
  B: 0.0874
  C: 0.0635
  D: 0.0829
  E: 0.1409
  F: 0.1057
  G: 0.0623
  H: 0.1746
  I: 0.1049
  J: 0.0707

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.3421	0.3628	0.2726	0.5434	0.2449	0.2681	0.248	0.3025	0.5612
  B	0.3421	0	4.0124	3.3101	3.4112	1.257	0.5318	0.7342	5.4182	5.5571
  C	0.3628	4.0124	0	0.7752	4.2566	1.0178	0.5213	0.2008	1.0365	4.5359
  D	0.2726	3.3101	0.7752	0	2.5267	0.5323	0.3674	0.2278	0.5677	2.2233
  E	0.5434	3.4112	4.2566	2.5267	0	0.9065	3.0127	0.1289	1.5022	0.9339
  F	0.2449	1.257	1.0178	0.5323	0.9065	0	0.3879	0.2588	0.5615	0.2706
  G	0.2681	0.5318	0.5213	0.3674	3.0127	0.3879	0	0.239	0.4971	0.4072
  H	0.248	0.7342	0.2008	0.2278	0.1289	0.2588	0.239	0	0.2187	1.5715
  I	0.3025	5.4182	1.0365	0.5677	1.5022	0.5615	0.4971	0.2187	0	1.3152
  J	0.5612	5.5571	4.5359	2.2233	0.9339	0.2706	0.4072	1.5715	1.3152	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0366	0.0389	0.0292	0.0582	0.0262	0.0287	0.0266	0.0324	0.0601
  B	0.0299	0	0.3506	0.2893	0.2981	0.1099	0.0465	0.0642	0.4735	0.4856
  C	0.023	0.2547	0	0.0492	0.2703	0.0646	0.0331	0.0127	0.0658	0.288
  D	0.0226	0.2743	0.0642	0	0.2094	0.0441	0.0304	0.0189	0.047	0.1843
  E	0.0766	0.4808	0.6	0.3561	0	0.1278	0.4246	0.0182	0.2117	0.1316
  F	0.0259	0.1328	0.1076	0.0563	0.0958	0	0.041	0.0273	0.0593	0.0286
  G	0.0167	0.0331	0.0325	0.0229	0.1875	0.0241	0	0.0149	0.0309	0.0253
  H	0.0433	0.1282	0.0351	0.0398	0.0225	0.0452	0.0417	0	0.0382	0.2744
  I	0.0317	0.5684	0.1087	0.0596	0.1576	0.0589	0.0521	0.0229	0	0.138
  J	0.0397	0.3929	0.3207	0.1572	0.066	0.0191	0.0288	0.1111	0.093	0
