strain,accession,subtype,date,host,country,region,species,broad,order
#A_Equine_Sweden_SVA111208SZ0077VIR167906_2011|2011-12-07,EPI620259,H3N8,2011-12-07,Equine,Sweden,Europe,Equine,equine,Equine
A/American_black_duck/New_Brunswick/00558/2010|2010-08-14,EPI434897,H3N8,2010-08-14,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00608/2010|2010-08-16,EPI434923,H3N8,2010-08-16,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00614/2010|2010-08-16,EPI434947,H3N8,2010-08-16,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00616/2010|2010-08-16,EPI434964,H3N8,2010-08-16,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00618/2010|2010-08-16,CY139167,H3N6,2010-08-16,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00619/2010|2010-08-16,CY139175,H3N6,2010-08-16,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00620/2010|2010-08-16,CY139183,H3N6,2010-08-16,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00622/2010|2010-08-16,CY139201,H3N6,2010-08-16,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00624/2010|2010-08-16,CY139217,H3N6,2010-08-16,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00687/2010|2010-08-09,EPI435059,H3N8,2010-08-09,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/00953/2010|2010-09-15,EPI435305,H3N8,2010-09-15,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02491/2007|2007-09-17,EPI404838,H3N8,2007-09-17,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02496/2007|2007-09-18,EPI405223,H3N8,2007-09-18,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02497/2007|2007-09-18,EPI405165,H3N8,2007-09-18,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02502/2007|2007-09-18,EPI405201,H3N8,2007-09-18,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02507/2007|2007-09-18,EPI405098,H3N8,2007-09-18,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02525/2007|2007-09-24,EPI405273,H3N8,2007-09-24,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02549/2007|2007-09-26,EPI404369,H3N8,2007-09-26,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02629/2007|2007-09-22,EPI404684,H3N8,2007-09-22,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02649/2007|2007-09-24,EPI404732,H3N6,2007-09-24,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02650/2007|2007-09-24,EPI404704,H3N2,2007-09-24,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02651/2007|2007-09-24,EPI405105,H3N2,2007-09-24,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02656/2007|2007-09-24,CY129189,H3N8,2007-09-24,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02725/2007|2007-09-19,EPI404697,H3N8,2007-09-19,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/02749/2007|2007-09-04,EPI405250,H3N8,2007-09-04,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/03395/2009|2009-08-09,CY129016,H3N8,2009-08-09,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/03398/2009|2009-08-09,CY128984,H3N8,2009-08-09,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/03408/2009|2009-08-10,CY129008,H3N8,2009-08-10,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/03451/2009|2009-08-12,EPI404588,H3N9,2009-08-12,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/03495/2009|2009-09-09,EPI404668,H3N8,2009-09-09,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/03509/2009|2009-09-10,CY129024,H3N8,2009-09-10,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/04484/2007|2007-09-04,EPI405187,H3N8,2007-09-04,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/19350/2006|2006-09-14,CY095420,H3N8,2006-09-14,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Brunswick/25182/2007|2007-09-21,EPI221379,H3N6,2007-09-21,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/New_Hampshire/23-031358-001-original/2023|2023-10-05,EPI3509557,H3N1,2023-10-05,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Newfoundland/734/2008|2008-09-19,KC492256,H3N8,2008-09-19,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Newfoundland/GR252/2011|2011-08-31,KC492384,H3N2,2011-08-31,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Newfoundland/GR256/2011|2011-08-31,KC492392,H3N2,2011-08-31,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Newfoundland/GR396/2011|2011-09-12,KC492400,H3N2,2011-09-12,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Newfoundland/GR490/2011|2011-09-14,KC492416,H3N2,2011-09-14,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Newfoundland/MW662/2010|2010-09-17,KC492336,H3N6,2010-09-17,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Newfoundland_and_Labrador/26516/2007|2007-09-26,CY095492,H3N2,2007-09-26,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Newfoundland_and_Labrador/26553/2007|2007-09-26,CY095500,H3N2,2007-09-26,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/North_Carolina/1321373/2004|2004-12-22,EPI454861,H3N2,2004-12-22,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Nova_Scotia/02213/2007|2007-01-01,EPI404518,H3N8,2007-01-01,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Nova_Scotia/03273/2009|2009-08-06,CY125624,H3N8,2009-08-06,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Ohio/12OS5510/2012|2012-11-16,CY187023,H3N8,2012-11-16,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_Black_Duck/Ohio/17OS1914/2017|2017-08-03,MT825017,H3N8,2017-08-03,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Prince_Edward_Island/00672/2010|2010-08-04,EPI435045,H3N8,2010-08-04,Avian,Canada,North America,Mallard,duck,Anseriformes
A/American_black_duck/Prince_Edward_Island/00673/2010|2010-08-04,EPI435052,H3N8,2010-08-04,Avian,Canada,North America,American Black Duck,duck,Anseriformes
