Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 14.732919

Equilibrium frequencies (pi_i):
  A: 0.1158
  B: 0.0825
  C: 0.0453
  D: 0.06
  E: 0.1215
  F: 0.1002
  G: 0.0607
  H: 0.202
  I: 0.1216
  J: 0.0905

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2558	0.7195	0.3408	0.4601	0.2886	0.4858	0.343	0.343	0.5049
  B	0.2558	0	3.7404	3.2799	4.4323	1.1928	0.4102	0.3047	4.1262	4.9572
  C	0.7195	3.7404	0	1.6061	5.8336	1.1728	0.5313	0.5414	2.3382	4.5163
  D	0.3408	3.2799	1.6061	0	3.8497	0.5798	0.2959	0.2751	1.5393	2.6357
  E	0.4601	4.4323	5.8336	3.8497	0	1.1173	3.3935	0.1383	1.3051	0.7062
  F	0.2886	1.1928	1.1728	0.5798	1.1173	0	0.5025	0.5466	0.4398	0.6321
  G	0.4858	0.4102	0.5313	0.2959	3.3935	0.5025	0	0.2712	0.6515	0.3379
  H	0.343	0.3047	0.5414	0.2751	0.1383	0.5466	0.2712	0	0.2973	1.6755
  I	0.343	4.1262	2.3382	1.5393	1.3051	0.4398	0.6515	0.2973	0	0.61
  J	0.5049	4.9572	4.5163	2.6357	0.7062	0.6321	0.3379	1.6755	0.61	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0296	0.0833	0.0395	0.0533	0.0334	0.0562	0.0397	0.0397	0.0584
  B	0.0211	0	0.3085	0.2705	0.3656	0.0984	0.0338	0.0251	0.3403	0.4089
  C	0.0326	0.1695	0	0.0728	0.2644	0.0532	0.0241	0.0245	0.106	0.2047
  D	0.0204	0.1967	0.0963	0	0.2308	0.0348	0.0177	0.0165	0.0923	0.158
  E	0.0559	0.5387	0.709	0.4679	0	0.1358	0.4124	0.0168	0.1586	0.0858
  F	0.0289	0.1195	0.1175	0.0581	0.1119	0	0.0503	0.0548	0.0441	0.0633
  G	0.0295	0.0249	0.0323	0.018	0.206	0.0305	0	0.0165	0.0395	0.0205
  H	0.0693	0.0615	0.1093	0.0556	0.0279	0.1104	0.0548	0	0.06	0.3384
  I	0.0417	0.5017	0.2843	0.1872	0.1587	0.0535	0.0792	0.0361	0	0.0742
  J	0.0457	0.4487	0.4088	0.2386	0.0639	0.0572	0.0306	0.1517	0.0552	0
