strain	accession	subtype	date	host	country	region	species	broad	order
A/American_black_duck/New_Brunswick/02496/2007	CY129311	H3N8	2007-09-18	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02497/2007	CY129254	H3N8	2007-09-18	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02502/2007	CY129295	H3N8	2007-09-18	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02507/2007	CY129206	H3N8	2007-09-18	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02525/2007	CY129359	H3N8	2007-09-24	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02549/2007	CY128669	H3N8	2007-09-26	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02629/2007	CY129047	H3N8	2007-09-22	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02649/2007	CY129095	H3N6	2007-09-24	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02650/2007	CY129063	H3N2	2007-09-24	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02651/2007	CY129214	H3N2	2007-09-24	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02656/2007	CY129188	H3N8	2007-09-24	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02725/2007	CY129055	H3N8	2007-09-19	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/02749/2007	CY129343	H3N8	2007-09-04	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/03395/2009	CY129015	H3N8	2009-08-09	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/03398/2009	CY128983	H3N8	2009-08-09	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/03408/2009	CY129007	H3N8	2009-08-10	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/03451/2009	CY128951	H3N9	2009-08-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/03495/2009	CY129031	H3N8	2009-09-09	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/03509/2009	CY129023	H3N8	2009-09-10	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/04484/2007	CY129279	H3N8	2007-09-04	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/19350/2006	CY095419	H3N8	2006-09-14	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Brunswick/25182/2007	CY047697	H3N6	2007-09-21	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/New_Hampshire/23-031358-001-original/2023	EPI3509564	H3N1	2023-10-05	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/732/2008	KC492249	H3N8	2008-09-15	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/734/2008	KC492257	H3N8	2008-09-19	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/GR252/2011	KC492385	H3N2	2011-08-31	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/GR256/2011	KC492393	H3N2	2011-08-31	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/GR396/2011	KC492401	H3N2	2011-09-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/GR490/2011	KC492417	H3N2	2011-09-14	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/GR679/2011	KC492424	H3N2	2011-10-12	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland/MW662/2010	KC492337	H3N6	2010-09-17	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland_and_Labrador/26516/2007	CY095491	H3N2	2007-09-26	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Newfoundland_and_Labrador/26553/2007	CY095499	H3N2	2007-09-26	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/North_Carolina/1321373/2004	EPI454860	H3N2	2004-12-22	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/North_Carolina/675-075/2004	EPI229504	H3N2	2004-01-01	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Nova_Scotia/02213/2007	CY128879	H3N8	2007-01-01	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Nova_Scotia/03273/2009	CY125623	H3N8	2009-08-06	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Ohio/12OS5510/2012	CY187022	H3N8	2012-11-16	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_Black_Duck/Ohio/17OS1914/2017	MT825015	H3N8	2017-08-03	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Prince_Edward_Island/00672/2010	CY139224	H3N8	2010-08-04	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Prince_Edward_Island/00673/2010	CY139232	H3N8	2010-08-04	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Prince_Edward_Island/00788/2010	CY139280	H3N8	2010-08-25	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Prince_Edward_Island/14228/2006	CY095451	H3N8	2006-08-15	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Prince_Edward_Island/14230/2006	CY095459	H3N8	2006-08-15	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Quebec/11235/2006	CY047649	H3N2	2006-08-24	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/St._John's/732/2008	EPI420421	H3N8	2008-09-15	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/St._John's/734/2008	EPI420428	H3N8	2008-09-19	Avian	Canada	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Washington/699/1978	EPI240856	H3N8	1978-01-01	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_black_duck/Western_Australia/699/1978	GU052300	H3N8	1978-XX-XX	Avian	Australia	Oceania	American Black Duck	duck	Anseriformes
A/American_coot/Oregon/20589-007/2007	EPI290902	H3N8	2007-12-17	Avian	Usa	North America	Avian	avian	Avian
A/American_Green-winged_Teal/17OS4133/2017	MT824876	H3N6	2017-10-14	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/103773/2008	KX714373	H3N8	2008-09-20	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/103781/2008	KX714389	H3N6	2008-09-13	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
