strain	accession	subtype	date	host	country	region	species	broad	order
A/northern_pintail/Interior_Alaska/7MP2228/2007	EPI299063	H3N8	2007-09-16	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/8BM2528R1/2008	EPI299103	H3N8	2008-08-13	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/8BM3582/2008	EPI299159	H3N8	2008-09-14	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/8BM3696/2008	EPI300075	H3N8	2008-09-26	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/8BM3700/2008	EPI299199	H3N8	2008-09-26	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/8BM3731/2008	CY079176	H3N8	2008-09-27	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM10146R0/2009	EPI436325	H3N1	2009-01-01	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM10471R0/2009	EPI451046	H3N8	2009-08-16	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM10525R2/2009	EPI436331	H3N1	2009-01-01	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM10819R0/2009	EPI450989	H3N8	2009-08-17	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM10969R0/2009	EPI450936	H3N8	2009-08-17	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM10987R0/2009	EPI450932	H3N8	2009-08-17	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM11231R0/2009	EPI450934	H3N8	2009-08-18	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM11325R0/2009	EPI436240	H3N1	2009-01-01	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM11431R0/2009	EPI436242	H3N1	2009-01-01	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM11487R0/2009	EPI450960	H3N8	2009-08-18	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM11572R0/2009	EPI450937	H3N8	2009-08-20	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM11757R0/2009	EPI450939	H3N8	2009-08-19	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM11787R0/2009	EPI448684	H3N7	2009-08-19	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM11789R0/2009	EPI450940	H3N8	2009-08-19	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM11911R0/2009	EPI450942	H3N8	2009-08-19	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM12066R1/2009	EPI450945	H3N8	2009-08-20	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM12176R0/2009	EPI450992	H3N8	2009-08-20	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM12180R0/2009	EPI451000	H3N8	2009-08-20	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM12210R0/2009	EPI451003	H3N8	2009-08-21	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM12211R0/2009	EPI451047	H3N8	2009-08-21	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM12464R0/2009	EPI451024	H3N8	2009-09-02	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM12647R0/2009	EPI451036	H3N8	2009-09-05	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
