Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 11.40363

Equilibrium frequencies (pi_i):
  A: 0.1134
  B: 0.1057
  C: 0.0573
  D: 0.0769
  E: 0.1285
  F: 0.0916
  G: 0.0649
  H: 0.1969
  I: 0.0985
  J: 0.0663

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2892	0.4421	0.3116	0.4451	0.297	0.4599	0.3377	0.3374	0.5008
  B	0.2892	0	3.1477	3.8532	2.5112	1.4675	0.2927	0.4061	4.2139	5.7032
  C	0.4421	3.1477	0	1.0603	4.433	0.9802	0.7928	0.2294	1.3532	4.9578
  D	0.3116	3.8532	1.0603	0	2.9679	0.4649	0.2998	0.2534	1.3201	1.5522
  E	0.4451	2.5112	4.433	2.9679	0	1.1995	2.9869	0.1383	1.7009	0.7248
  F	0.297	1.4675	0.9802	0.4649	1.1995	0	0.301	0.4494	0.6679	0.4036
  G	0.4599	0.2927	0.7928	0.2998	2.9869	0.301	0	0.2718	0.3504	0.4227
  H	0.3377	0.4061	0.2294	0.2534	0.1383	0.4494	0.2718	0	0.2945	1.8852
  I	0.3374	4.2139	1.3532	1.3201	1.7009	0.6679	0.3504	0.2945	0	2.0086
  J	0.5008	5.7032	4.9578	1.5522	0.7248	0.4036	0.4227	1.8852	2.0086	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0328	0.0502	0.0353	0.0505	0.0337	0.0522	0.0383	0.0383	0.0568
  B	0.0306	0	0.3329	0.4075	0.2655	0.1552	0.0309	0.0429	0.4456	0.6031
  C	0.0253	0.1803	0	0.0607	0.2539	0.0561	0.0454	0.0131	0.0775	0.284
  D	0.024	0.2963	0.0815	0	0.2282	0.0358	0.0231	0.0195	0.1015	0.1194
  E	0.0572	0.3228	0.5698	0.3815	0	0.1542	0.3839	0.0178	0.2186	0.0932
  F	0.0272	0.1344	0.0898	0.0426	0.1099	0	0.0276	0.0412	0.0612	0.037
  G	0.0298	0.019	0.0514	0.0195	0.1938	0.0195	0	0.0176	0.0227	0.0274
  H	0.0665	0.0799	0.0452	0.0499	0.0272	0.0885	0.0535	0	0.058	0.3711
  I	0.0332	0.4149	0.1332	0.13	0.1675	0.0658	0.0345	0.029	0	0.1978
  J	0.0332	0.378	0.3286	0.1029	0.048	0.0268	0.028	0.1249	0.1331	0
