Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 12.392113

Equilibrium frequencies (pi_i):
  A: 0.1035
  B: 0.1088
  C: 0.0456
  D: 0.0735
  E: 0.1299
  F: 0.0885
  G: 0.0543
  H: 0.1905
  I: 0.1325
  J: 0.073

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2379	0.7275	0.293	0.5713	0.2795	0.3304	0.3002	0.3296	0.5137
  B	0.2379	0	4.3191	2.5842	1.9268	0.5984	0.4681	0.4431	4.2927	4.2571
  C	0.7275	4.3191	0	1.4168	4.7235	1.8998	0.8138	0.2163	1.669	5.0869
  D	0.293	2.5842	1.4168	0	3.3708	0.5082	0.4384	0.2531	1.4659	1.8414
  E	0.5713	1.9268	4.7235	3.3708	0	1.3484	3.7767	0.1257	1.2618	0.5798
  F	0.2795	0.5984	1.8998	0.5082	1.3484	0	0.2945	0.2702	0.3336	0.2818
  G	0.3304	0.4681	0.8138	0.4384	3.7767	0.2945	0	0.2703	0.4587	0.4218
  H	0.3002	0.4431	0.2163	0.2531	0.1257	0.2702	0.2703	0	0.4689	1.6768
  I	0.3296	4.2927	1.669	1.4659	1.2618	0.3336	0.4587	0.4689	0	1.9875
  J	0.5137	4.2571	5.0869	1.8414	0.5798	0.2818	0.4218	1.6768	1.9875	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0246	0.0753	0.0303	0.0591	0.0289	0.0342	0.0311	0.0341	0.0532
  B	0.0259	0	0.4698	0.2811	0.2096	0.0651	0.0509	0.0482	0.4669	0.4631
  C	0.0332	0.1969	0	0.0646	0.2154	0.0866	0.0371	0.0099	0.0761	0.2319
  D	0.0215	0.1899	0.1041	0	0.2478	0.0374	0.0322	0.0186	0.1077	0.1353
  E	0.0742	0.2503	0.6135	0.4378	0	0.1751	0.4905	0.0163	0.1639	0.0753
  F	0.0247	0.0529	0.1681	0.045	0.1193	0	0.0261	0.0239	0.0295	0.0249
  G	0.0179	0.0254	0.0442	0.0238	0.2049	0.016	0	0.0147	0.0249	0.0229
  H	0.0572	0.0844	0.0412	0.0482	0.0239	0.0515	0.0515	0	0.0893	0.3194
  I	0.0437	0.5689	0.2212	0.1943	0.1672	0.0442	0.0608	0.0621	0	0.2634
  J	0.0375	0.3109	0.3715	0.1345	0.0423	0.0206	0.0308	0.1225	0.1451	0
