Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 9.114953

Equilibrium frequencies (pi_i):
  A: 0.1097
  B: 0.0762
  C: 0.0428
  D: 0.0754
  E: 0.1153
  F: 0.0871
  G: 0.0661
  H: 0.2147
  I: 0.127
  J: 0.0857

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2801	0.6888	0.4024	0.4965	0.4859	0.6012	0.4441	0.3217	0.5798
  B	0.2801	0	3.0233	5.6851	4.2101	1.1137	0.3114	0.3076	4.3505	4.7383
  C	0.6888	3.0233	0	1.1468	6.5812	1.5018	0.7365	0.2298	2.1688	4.2229
  D	0.4024	5.6851	1.1468	0	2.8356	0.7671	0.3491	0.301	0.8705	1.0607
  E	0.4965	4.2101	6.5812	2.8356	0	1.2059	3.0354	0.1436	0.7779	0.6931
  F	0.4859	1.1137	1.5018	0.7671	1.2059	0	0.674	0.4128	0.8637	0.3651
  G	0.6012	0.3114	0.7365	0.3491	3.0354	0.674	0	0.3212	0.3953	0.4967
  H	0.4441	0.3076	0.2298	0.301	0.1436	0.4128	0.3212	0	0.3994	2.4438
  I	0.3217	4.3505	2.1688	0.8705	0.7779	0.8637	0.3953	0.3994	0	1.531
  J	0.5798	4.7383	4.2229	1.0607	0.6931	0.3651	0.4967	2.4438	1.531	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0307	0.0755	0.0441	0.0545	0.0533	0.0659	0.0487	0.0353	0.0636
  B	0.0213	0	0.2302	0.4329	0.3206	0.0848	0.0237	0.0234	0.3313	0.3608
  C	0.0295	0.1295	0	0.0491	0.282	0.0643	0.0316	0.0098	0.0929	0.1809
  D	0.0304	0.4289	0.0865	0	0.2139	0.0579	0.0263	0.0227	0.0657	0.08
  E	0.0573	0.4855	0.759	0.327	0	0.1391	0.3501	0.0166	0.0897	0.0799
  F	0.0423	0.097	0.1308	0.0668	0.105	0	0.0587	0.036	0.0752	0.0318
  G	0.0397	0.0206	0.0487	0.0231	0.2007	0.0446	0	0.0212	0.0261	0.0328
  H	0.0953	0.066	0.0493	0.0646	0.0308	0.0886	0.069	0	0.0857	0.5246
  I	0.0408	0.5524	0.2754	0.1105	0.0988	0.1097	0.0502	0.0507	0	0.1944
  J	0.0497	0.406	0.3618	0.0909	0.0594	0.0313	0.0426	0.2094	0.1312	0
