Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 11.599413

Equilibrium frequencies (pi_i):
  A: 0.114
  B: 0.093
  C: 0.0616
  D: 0.0955
  E: 0.1297
  F: 0.0836
  G: 0.064
  H: 0.1905
  I: 0.1088
  J: 0.0593

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2566	0.6356	0.2954	0.4232	0.286	0.4574	0.288	0.3625	0.6524
  B	0.2566	0	3.3355	3.4357	2.7975	1.5822	0.2925	0.2971	4.6507	5.1897
  C	0.6356	3.3355	0	1.0534	4.2711	0.9917	0.663	0.2085	1.6455	5.0722
  D	0.2954	3.4357	1.0534	0	2.3624	0.7541	0.2892	0.2577	0.43	1.9586
  E	0.4232	2.7975	4.2711	2.3624	0	1.3795	2.8846	0.1396	1.4435	0.5571
  F	0.286	1.5822	0.9917	0.7541	1.3795	0	0.487	0.3322	1.0303	0.5521
  G	0.4574	0.2925	0.663	0.2892	2.8846	0.487	0	0.275	0.5429	0.5095
  H	0.288	0.2971	0.2085	0.2577	0.1396	0.3322	0.275	0	0.3775	2.1323
  I	0.3625	4.6507	1.6455	0.43	1.4435	1.0303	0.5429	0.3775	0	2.8538
  J	0.6524	5.1897	5.0722	1.9586	0.5571	0.5521	0.5095	2.1323	2.8538	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0293	0.0725	0.0337	0.0483	0.0326	0.0522	0.0328	0.0413	0.0744
  B	0.0239	0	0.3103	0.3196	0.2603	0.1472	0.0272	0.0276	0.4327	0.4828
  C	0.0391	0.2053	0	0.0648	0.2629	0.061	0.0408	0.0128	0.1013	0.3122
  D	0.0282	0.3282	0.1006	0	0.2257	0.072	0.0276	0.0246	0.0411	0.1871
  E	0.0549	0.3629	0.5541	0.3065	0	0.179	0.3742	0.0181	0.1873	0.0723
  F	0.0239	0.1323	0.0829	0.0631	0.1154	0	0.0407	0.0278	0.0862	0.0462
  G	0.0293	0.0187	0.0424	0.0185	0.1845	0.0312	0	0.0176	0.0347	0.0326
  H	0.0549	0.0566	0.0397	0.0491	0.0266	0.0633	0.0524	0	0.0719	0.4061
  I	0.0394	0.5058	0.179	0.0468	0.157	0.1121	0.059	0.0411	0	0.3104
  J	0.0387	0.3078	0.3008	0.1162	0.033	0.0327	0.0302	0.1265	0.1693	0
