Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 12.458423

Equilibrium frequencies (pi_i):
  A: 0.1035
  B: 0.1085
  C: 0.047
  D: 0.0735
  E: 0.1301
  F: 0.0883
  G: 0.0542
  H: 0.1903
  I: 0.1324
  J: 0.0721

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2369	0.7247	0.2919	0.569	0.2783	0.3293	0.2987	0.3283	0.512
  B	0.2369	0	4.2892	2.5775	1.925	0.5992	0.4668	0.4411	4.2783	4.2495
  C	0.7247	4.2892	0	1.4011	4.6784	1.8887	0.8107	0.2152	1.6564	5.3134
  D	0.2919	2.5775	1.4011	0	3.3578	0.5066	0.4368	0.2521	1.4582	1.8436
  E	0.569	1.925	4.6784	3.3578	0	1.3449	3.763	0.1252	1.2583	0.5799
  F	0.2783	0.5992	1.8887	0.5066	1.3449	0	0.2935	0.2691	0.3328	0.2813
  G	0.3293	0.4668	0.8107	0.4368	3.763	0.2935	0	0.2692	0.457	0.4201
  H	0.2987	0.4411	0.2152	0.2521	0.1252	0.2691	0.2692	0	0.4672	1.6701
  I	0.3283	4.2783	1.6564	1.4582	1.2583	0.3328	0.457	0.4672	0	1.9828
  J	0.512	4.2495	5.3134	1.8436	0.5799	0.2813	0.4201	1.6701	1.9828	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0245	0.075	0.0302	0.0589	0.0288	0.0341	0.0309	0.034	0.053
  B	0.0257	0	0.4655	0.2798	0.2089	0.065	0.0507	0.0479	0.4643	0.4612
  C	0.034	0.2015	0	0.0658	0.2198	0.0887	0.0381	0.0101	0.0778	0.2497
  D	0.0215	0.1894	0.103	0	0.2468	0.0372	0.0321	0.0185	0.1072	0.1355
  E	0.0741	0.2505	0.6089	0.437	0	0.175	0.4897	0.0163	0.1638	0.0755
  F	0.0246	0.0529	0.1668	0.0447	0.1188	0	0.0259	0.0238	0.0294	0.0248
  G	0.0179	0.0253	0.044	0.0237	0.204	0.0159	0	0.0146	0.0248	0.0228
  H	0.0568	0.0839	0.041	0.048	0.0238	0.0512	0.0512	0	0.0889	0.3178
  I	0.0435	0.5666	0.2194	0.1931	0.1666	0.0441	0.0605	0.0619	0	0.2626
  J	0.0369	0.3063	0.383	0.1329	0.0418	0.0203	0.0303	0.1204	0.1429	0
