Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 12.427794

Equilibrium frequencies (pi_i):
  A: 0.1035
  B: 0.1085
  C: 0.0474
  D: 0.0736
  E: 0.1303
  F: 0.0884
  G: 0.0543
  H: 0.1904
  I: 0.1325
  J: 0.0711

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2372	0.7256	0.2922	0.5695	0.2787	0.3297	0.2989	0.3287	0.5125
  B	0.2372	0	4.2943	2.5807	1.9278	0.6001	0.4674	0.4416	4.2811	4.2614
  C	0.7256	4.2943	0	1.4007	4.6787	1.8908	0.8113	0.2152	1.6571	5.209
  D	0.2922	2.5807	1.4007	0	3.3602	0.5075	0.4374	0.2524	1.4595	1.8475
  E	0.5695	1.9278	4.6787	3.3602	0	1.3457	3.7667	0.1254	1.2595	0.5861
  F	0.2787	0.6001	1.8908	0.5075	1.3457	0	0.2938	0.2694	0.3335	0.2815
  G	0.3297	0.4674	0.8113	0.4374	3.7667	0.2938	0	0.2695	0.4573	0.4206
  H	0.2989	0.4416	0.2152	0.2524	0.1254	0.2694	0.2695	0	0.4677	1.6718
  I	0.3287	4.2811	1.6571	1.4595	1.2595	0.3335	0.4573	0.4677	0	1.9868
  J	0.5125	4.2614	5.209	1.8475	0.5861	0.2815	0.4206	1.6718	1.9868	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0246	0.0751	0.0303	0.059	0.0289	0.0341	0.031	0.034	0.0531
  B	0.0257	0	0.4661	0.2801	0.2093	0.0651	0.0507	0.0479	0.4647	0.4626
  C	0.0344	0.2035	0	0.0664	0.2217	0.0896	0.0384	0.0102	0.0785	0.2468
  D	0.0215	0.1899	0.1031	0	0.2472	0.0373	0.0322	0.0186	0.1074	0.1359
  E	0.0742	0.2512	0.6096	0.4378	0	0.1753	0.4908	0.0163	0.1641	0.0764
  F	0.0246	0.0531	0.1672	0.0449	0.119	0	0.026	0.0238	0.0295	0.0249
  G	0.0179	0.0254	0.044	0.0237	0.2044	0.0159	0	0.0146	0.0248	0.0228
  H	0.0569	0.0841	0.041	0.048	0.0239	0.0513	0.0513	0	0.089	0.3183
  I	0.0436	0.5674	0.2196	0.1934	0.1669	0.0442	0.0606	0.062	0	0.2633
  J	0.0364	0.3029	0.3702	0.1313	0.0417	0.02	0.0299	0.1188	0.1412	0
