Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 12.423721

Equilibrium frequencies (pi_i):
  A: 0.1035
  B: 0.1086
  C: 0.0469
  D: 0.0736
  E: 0.13
  F: 0.0884
  G: 0.0543
  H: 0.1904
  I: 0.1325
  J: 0.0718

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2373	0.7258	0.2923	0.5698	0.2788	0.3298	0.2992	0.3288	0.5126
  B	0.2373	0	4.2983	2.5805	1.9273	0.5995	0.4673	0.4419	4.2827	4.2569
  C	0.7258	4.2983	0	1.4044	4.6917	1.8917	0.811	0.2154	1.6593	5.2056
  D	0.2923	2.5805	1.4044	0	3.3616	0.5074	0.4375	0.2524	1.4603	1.8448
  E	0.5698	1.9273	4.6917	3.3616	0	1.3461	3.7684	0.1254	1.26	0.5883
  F	0.2788	0.5995	1.8917	0.5074	1.3461	0	0.2938	0.2695	0.3333	0.2815
  G	0.3298	0.4673	0.811	0.4375	3.7684	0.2938	0	0.2696	0.4573	0.4208
  H	0.2992	0.4419	0.2154	0.2524	0.1254	0.2695	0.2696	0	0.4678	1.6724
  I	0.3288	4.2827	1.6593	1.4603	1.26	0.3333	0.4573	0.4678	0	1.9861
  J	0.5126	4.2569	5.2056	1.8448	0.5883	0.2815	0.4208	1.6724	1.9861	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0246	0.0751	0.0303	0.059	0.0289	0.0341	0.031	0.034	0.0531
  B	0.0258	0	0.4668	0.2802	0.2093	0.0651	0.0508	0.048	0.4651	0.4623
  C	0.034	0.2014	0	0.0658	0.2199	0.0886	0.038	0.0101	0.0778	0.2439
  D	0.0215	0.1898	0.1033	0	0.2473	0.0373	0.0322	0.0186	0.1074	0.1357
  E	0.0741	0.2506	0.61	0.437	0	0.175	0.4899	0.0163	0.1638	0.0765
  F	0.0246	0.053	0.1673	0.0449	0.119	0	0.026	0.0238	0.0295	0.0249
  G	0.0179	0.0254	0.044	0.0237	0.2045	0.0159	0	0.0146	0.0248	0.0228
  H	0.057	0.0841	0.041	0.0481	0.0239	0.0513	0.0513	0	0.0891	0.3184
  I	0.0436	0.5675	0.2199	0.1935	0.167	0.0442	0.0606	0.062	0	0.2632
  J	0.0368	0.3058	0.374	0.1325	0.0423	0.0202	0.0302	0.1202	0.1427	0
