Map from character to field name
A:	Africa
B:	China
C:	Europe
D:	Japan Korea
E:	North America
F:	Oceania
G:	South America
H:	South Asia
I:	Southeast Asia
J:	West Asia
K:	?


Substitution rate (mu): 14.727124

Equilibrium frequencies (pi_i):
  A: 0.1159
  B: 0.0831
  C: 0.0461
  D: 0.0601
  E: 0.1244
  F: 0.1006
  G: 0.0608
  H: 0.2019
  I: 0.1218
  J: 0.0854

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.2553	0.7204	0.3404	0.46	0.2885	0.4862	0.3431	0.3429	0.5058
  B	0.2553	0	3.7686	3.2823	4.4051	1.1952	0.412	0.3043	4.1284	4.9937
  C	0.7204	3.7686	0	1.6105	5.5815	1.1817	0.535	0.5414	2.3483	4.2976
  D	0.3404	3.2823	1.6105	0	3.8366	0.5798	0.2969	0.275	1.54	2.6503
  E	0.46	4.4051	5.5815	3.8366	0	1.1059	3.379	0.1384	1.2965	0.8747
  F	0.2885	1.1952	1.1817	0.5798	1.1059	0	0.5049	0.5468	0.4392	0.6329
  G	0.4862	0.412	0.535	0.2969	3.379	0.5049	0	0.2713	0.6522	0.3319
  H	0.3431	0.3043	0.5414	0.275	0.1384	0.5468	0.2713	0	0.2974	1.6741
  I	0.3429	4.1284	2.3483	1.54	1.2965	0.4392	0.6522	0.2974	0	0.6144
  J	0.5058	4.9937	4.2976	2.6503	0.8747	0.6329	0.3319	1.6741	0.6144	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J
  A	0	0.0296	0.0835	0.0394	0.0533	0.0334	0.0563	0.0398	0.0397	0.0586
  B	0.0212	0	0.3131	0.2727	0.366	0.0993	0.0342	0.0253	0.343	0.4149
  C	0.0332	0.1736	0	0.0742	0.2572	0.0544	0.0247	0.0249	0.1082	0.198
  D	0.0204	0.1972	0.0968	0	0.2305	0.0348	0.0178	0.0165	0.0925	0.1592
  E	0.0572	0.5482	0.6945	0.4774	0	0.1376	0.4205	0.0172	0.1613	0.1089
  F	0.029	0.1203	0.1189	0.0584	0.1113	0	0.0508	0.055	0.0442	0.0637
  G	0.0296	0.0251	0.0325	0.0181	0.2055	0.0307	0	0.0165	0.0397	0.0202
  H	0.0693	0.0614	0.1093	0.0555	0.0279	0.1104	0.0548	0	0.06	0.3379
  I	0.0417	0.5027	0.2859	0.1875	0.1579	0.0535	0.0794	0.0362	0	0.0748
  J	0.0432	0.4264	0.3669	0.2263	0.0747	0.054	0.0283	0.1429	0.0525	0
